"S01F1","S01F2","S01F3","S01F4","S01F5","S01F6","S01F7","S02F1","S02F2","S02F3","S02F4","S02F5","S02F6","S02F7","S03F1","S03F2","S03F3","S03F4","S03F5","S03F6","S03F7","S04F1","S04F2","S04F3","S04F4","S04F5","S04F6","S04F7","S05F1","S05F2","S05F3","S05F4","S05F5","S05F6","S05F7","S06F1","S06F2","S06F3","S06F4","S06F5","S06F6","S06F7","S07F1","S07F2","S07F3","S07F4","S07F5","S07F6","S07F7","S08F1","S08F2","S08F3","S08F4","S08F5","S08F6","S08F7","S09F1","S09F2","S09F3","S09F4","S09F5","S09F6","S09F7","S10F1","S10F2","S10F3","S10F4","S10F5","S10F6","S10F7","S11F1","S11F2","S11F3","S11F4","S11F5","S11F6","S11F7","S12F1","S12F2","S12F3","S12F4","S12F5","S12F6","S12F7","S13F1","S13F2","S13F3","S13F4","S13F5","S13F6","S13F7","S14F1","S14F2","S14F3","S14F4","S14F5","S14F6","S14F7","S15F1","S15F2","S15F3","S15F4","S15F5","S15F6","S15F7","S16F1","S16F2","S16F3","S16F4","S16F5","S16F6","S16F7","S17F1","S17F2","S17F3","S17F4","S17F5","S17F6","S17F7","S18F1","S18F2","S18F3","S18F4","S18F5","S18F6","S18F7","S01F1 (#1)","S01F2 (#1)","S01F3 (#1)","S01F4 (#1)","S01F5 (#1)","S01F6 (#1)","S01F7 (#1)","S02F1 (#1)","S02F2 (#1)","S02F3 (#1)","S02F4 (#1)","S02F5 (#1)","S02F6 (#1)","S02F7 (#1)","S03F1 (#1)","S03F2 (#1)","S03F3 (#1)","S03F4 (#1)","S03F5 (#1)","S03F6 (#1)","S03F7 (#1)","S04F1 (#1)","S04F2 (#1)","S04F3 (#1)","S04F4 (#1)","S04F5 (#1)","S04F6 (#1)","S04F7 (#1)","S05F1 (#1)","S05F2 (#1)","S05F3 (#1)","S05F4 (#1)","S05F5 (#1)","S05F6 (#1)","S05F7 (#1)","S06F1 (#1)","S06F2 (#1)","S06F3 (#1)","S06F4 (#1)","S06F5 (#1)","S06F6 (#1)","S06F7 (#1)","S07F1 (#1)","S07F2 (#1)","S07F3 (#1)","S07F4 (#1)","S07F5 (#1)","S07F6 (#1)","S07F7 (#1)","S08F1 (#1)","S08F2 (#1)","S08F3 (#1)","S08F4 (#1)","S08F5 (#1)","S08F6 (#1)","S08F7 (#1)","S09F1 (#1)","S09F2 (#1)","S09F3 (#1)","S09F4 (#1)","S09F5 (#1)","S09F6 (#1)","S09F7 (#1)","S10F1 (#1)","S10F2 (#1)","S10F3 (#1)","S10F4 (#1)","S10F5 (#1)","S10F6 (#1)","S10F7 (#1)","S11F1 (#1)","S11F2 (#1)","S11F3 (#1)","S11F4 (#1)","S11F5 (#1)","S11F6 (#1)","S11F7 (#1)","S12F1 (#1)","S12F2 (#1)","S12F3 (#1)","S12F4 (#1)","S12F5 (#1)","S12F6 (#1)","S12F7 (#1)","S13F1 (#1)","S13F2 (#1)","S13F3 (#1)","S13F4 (#1)","S13F5 (#1)","S13F6 (#1)","S13F7 (#1)","S14F1 (#1)","S14F2 (#1)","S14F3 (#1)","S14F4 (#1)","S14F5 (#1)","S14F6 (#1)","S14F7 (#1)","S15F1 (#1)","S15F2 (#1)","S15F3 (#1)","S15F4 (#1)","S15F5 (#1)","S15F6 (#1)","S15F7 (#1)","S16F1 (#1)","S16F2 (#1)","S16F3 (#1)","S16F4 (#1)","S16F5 (#1)","S16F6 (#1)","S16F7 (#1)","S17F1 (#1)","S17F2 (#1)","S17F3 (#1)","S17F4 (#1)","S17F5 (#1)","S17F6 (#1)","S17F7 (#1)","S18F1 (#1)","S18F2 (#1)","S18F3 (#1)","S18F4 (#1)","S18F5 (#1)","S18F6 (#1)","S18F7 (#1)","ID",1,10,100,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99,winner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,12.03,-7.67,9.39,0.87,0.67,,,,,,,,,,,,,,,1,82,0,8,0,1,0.84,3,126.33,8.81,0.33,13.02,0.92,0.7,2,134.5,21.5,-18,1,0.97,0.69,,,,,,,,,,,,,,,4,108.75,17.92,-4.25,13.39,0.96,0.76,3,115.33,26.71,7.33,5.56,0.96,0.75,2,138,21,4.5,4.5,0.95,0.69,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.006,0.004,0.003,0.007,0.003,0.009,0.010,0.010,0.006,0.004,0.009,0.007,0.006,0.004,0.003,0.009,0.008,0.010,0.005,0.007,0.003,0.005,0.005,0.004,0.012,0.007,0.005,0.009,0.006,0.015,0.006,0.003,0.007,0.006,0.008,0.003,0.012,0.003,0.005,0.005,0.019,0.009,0.005,0.005,0.003,0.005,0.004,0.004,0.005,0.005,0.004,0.010,0.004,0.011,0.006,0.004,0.010,0.006,0.011,0.014,0.011,0.011,0.005,0.010,0.005,0.004,0.007,0.007,0.004,0.007,0.017,0.012,0.005,0.004,0.009,0.004,0.009,0.003,0.005,0.004,0.004,0.007,0.006,0.013,0.010,0.005,0.006,0.131,0.014,0.013,0.008,0.010,0.007,0.006,0.014,0.005,0.005,0.005,0.010,0.007,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103.69,17.34,-5.99,7.41,0.84,0.66,3,141.04,11.45,-9.78,6.28,0.97,0.69,1,87.66,0,-11.18,0,1,0.87,,,,,,,,,,,,,,,1,123.33,0,-18.43,0,0.99,0.7,5,116.5,17.98,1.03,7.68,0.95,0.73,3,147.52,16.63,-4.88,4.19,0.95,0.74,3,115.31,14.03,4.82,9.38,0.96,0.74,3,115.25,30.46,1.48,3.94,0.96,0.75,,,,,,,,2,136.88,20.45,-2.48,7.4,0.96,0.68,1,102.04,0,-1.68,0,0.94,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.004,0.007,0.004,0.010,0.006,0.009,0.008,0.006,0.006,0.007,0.017,0.005,0.007,0.004,0.003,0.007,0.007,0.008,0.005,0.006,0.011,0.007,0.005,0.009,0.010,0.005,0.011,0.009,0.007,0.007,0.006,0.006,0.010,0.011,0.006,0.008,0.007,0.004,0.016,0.014,0.009,0.008,0.006,0.011,0.009,0.006,0.009,0.003,0.005,0.010,0.002,0.007,0.007,0.003,0.009,0.010,0.013,0.006,0.005,0.004,0.003,0.008,0.004,0.006,0.006,0.004,0.005,0.008,0.006,0.006,0.015,0.017,0.006,0.008,0.003,0.003,0.010,0.005,0.011,0.014,0.003,0.004,0.008,0.004,0.007,0.007,0.017,0.132,0.005,0.008,0.011,0.012,0.005,0.004,0.011,0.005,0.004,0.007,0.009,0.009,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96.49,21.34,-11.4,11.43,0.87,0.67,5,122.38,24.64,-10.51,6.97,0.95,0.72,,,,,,,,,,,,,,,3,117.51,16.56,1.16,9.08,0.93,0.69,3,128.87,14.12,-9.14,11.84,0.98,0.72,6,107.09,24.98,3.03,10.8,0.96,0.72,,,,,,,,,,,,,,,,,,,,,,2,139.47,24.12,7.34,2.87,0.95,0.69,2,133.52,20.51,-0.81,0.3,0.96,0.69,2,126.93,28.93,-4.43,4.43,0.95,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.004,0.006,0.010,0.011,0.014,0.005,0.008,0.015,0.005,0.007,0.016,0.008,0.004,0.003,0.017,0.009,0.003,0.006,0.003,0.007,0.004,0.004,0.008,0.006,0.010,0.012,0.012,0.010,0.009,0.009,0.008,0.005,0.005,0.010,0.004,0.005,0.011,0.007,0.006,0.005,0.006,0.008,0.013,0.006,0.004,0.003,0.011,0.003,0.005,0.006,0.004,0.006,0.012,0.011,0.005,0.006,0.005,0.006,0.006,0.012,0.004,0.009,0.003,0.006,0.012,0.004,0.008,0.006,0.004,0.006,0.008,0.006,0.004,0.008,0.004,0.008,0.012,0.012,0.004,0.006,0.005,0.008,0.004,0.002,0.003,0.006,0.007,0.149,0.009,0.008,0.008,0.011,0.007,0.004,0.006,0.005,0.003,0.004,0.007,0.004,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,154.66,8.12,-13.97,1.35,0.95,0.71,3,114.47,13.23,5.42,9.91,0.9,0.73,1,84.4,0,13.71,0,1,0.85,,,,,,,,2,133.18,21.51,-21.16,1.26,0.97,0.69,5,106.37,25.37,3.33,10.5,0.95,0.74,,,,,,,,3,101.16,10.91,-7.42,17.31,0.97,0.74,,,,,,,,,,,,,,,,,,,,,,1,147.8,0,-8.95,0,0.94,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.008,0.007,0.004,0.009,0.004,0.012,0.003,0.004,0.006,0.003,0.006,0.009,0.007,0.008,0.002,0.022,0.004,0.006,0.004,0.007,0.005,0.012,0.011,0.013,0.007,0.010,0.008,0.004,0.006,0.004,0.007,0.004,0.004,0.009,0.012,0.008,0.006,0.007,0.005,0.009,0.014,0.005,0.010,0.005,0.007,0.007,0.005,0.008,0.006,0.004,0.004,0.006,0.007,0.004,0.005,0.013,0.005,0.006,0.011,0.004,0.007,0.005,0.010,0.009,0.009,0.008,0.004,0.013,0.006,0.010,0.013,0.009,0.008,0.005,0.004,0.005,0.005,0.004,0.006,0.008,0.009,0.004,0.003,0.010,0.004,0.007,0.009,0.121,0.009,0.008,0.011,0.016,0.004,0.007,0.005,0.005,0.004,0.008,0.006,0.015,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3,95.87,16.57,-8.72,9.64,0.86,0.67,2,156.27,0.25,-10.7,1.48,0.96,0.71,3,93.61,18.01,3.84,7.81,0.89,0.72,3,102.74,15.31,-2.94,7.93,0.97,0.8,4,131.86,15.45,-3.14,10.83,0.9,0.73,2,124.93,19.62,-21.36,1.55,0.97,0.69,8,113.72,21.76,3.16,12.31,0.94,0.74,5,122.15,24.68,-6.74,6.45,0.95,0.73,5,106.64,26.33,-6.38,12.28,0.96,0.74,4,116.9,24.38,5.69,4.91,0.95,0.71,2,132.51,15.17,3.27,7.66,0.94,0.69,3,120.76,22.9,-5.75,4.45,0.95,0.7,2,120.02,26.96,-9.03,0.37,0.95,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.005,0.006,0.008,0.011,0.020,0.009,0.004,0.016,0.005,0.003,0.006,0.011,0.010,0.005,0.003,0.004,0.007,0.006,0.003,0.007,0.006,0.004,0.016,0.012,0.008,0.006,0.007,0.007,0.006,0.008,0.005,0.002,0.005,0.003,0.009,0.008,0.009,0.003,0.008,0.002,0.007,0.007,0.005,0.005,0.003,0.007,0.004,0.004,0.006,0.005,0.008,0.006,0.005,0.007,0.007,0.008,0.004,0.010,0.012,0.004,0.013,0.008,0.005,0.008,0.009,0.007,0.007,0.005,0.009,0.005,0.016,0.012,0.006,0.009,0.004,0.003,0.007,0.006,0.013,0.010,0.006,0.009,0.007,0.009,0.008,0.005,0.012,0.173,0.011,0.004,0.010,0.013,0.002,0.005,0.005,0.003,0.005,0.005,0.007,0.004,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,107.62,14.46,-8.64,12.05,0.85,0.67,2,148.84,4.89,-14.32,2.7,0.95,0.72,3,104.45,12.98,4.4,5.67,0.9,0.73,1,84.02,0,-1.36,0,1,0.84,2,109.9,11.59,9.18,0.18,0.92,0.68,,,,,,,,6,102.41,17.92,-0.1,11.71,0.96,0.72,3,121.75,29.65,-7.56,1.81,0.96,0.75,3,121.36,16.5,3.57,9.19,0.96,0.74,3,121,30.83,4.36,0.4,0.95,0.74,2,134.89,23.73,11.07,2.79,0.95,0.69,2,134.4,13.36,-3.62,2.2,0.96,0.68,2,124.24,30.09,-7.99,4.27,0.95,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.004,0.008,0.007,0.010,0.005,0.006,0.003,0.007,0.007,0.009,0.009,0.006,0.010,0.009,0.006,0.007,0.004,0.005,0.005,0.005,0.007,0.010,0.011,0.018,0.006,0.004,0.010,0.008,0.011,0.005,0.008,0.003,0.007,0.005,0.004,0.007,0.009,0.006,0.008,0.004,0.018,0.006,0.013,0.007,0.004,0.003,0.004,0.003,0.004,0.011,0.006,0.005,0.008,0.009,0.004,0.008,0.010,0.005,0.009,0.004,0.008,0.005,0.004,0.005,0.014,0.005,0.008,0.005,0.004,0.009,0.007,0.010,0.011,0.013,0.004,0.014,0.007,0.007,0.007,0.008,0.004,0.003,0.007,0.009,0.007,0.010,0.009,0.162,0.005,0.007,0.005,0.005,0.004,0.013,0.012,0.009,0.004,0.008,0.009,0.009,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3,103,15.25,-9.33,2.05,0.92,0.68,2,115.5,8.5,-10,1,0.91,0.69,6,134.67,20.96,-4.33,15.51,0.94,0.74,4,128.25,19.6,-9.5,6.22,0.92,0.77,4,118,15.92,4,6.12,0.91,0.74,2,116,9,4,6,0.95,0.71,,,,,,,,2,107,2,-4.5,14.5,0.96,0.68,,,,,,,,,,,,,,,1,126,0,-17,0,0.98,0.65,1,114,0,-7,0,0.97,0.63,1,87,0,-3,0,0.96,0.6,0,0,0,0,0,0,0,89,0.007,0.009,0.004,0.006,0.007,0.023,0.008,0.008,0.010,0.004,0.003,0.008,0.013,0.011,0.012,0.006,0.004,0.006,0.004,0.006,0.011,0.016,0.013,0.005,0.007,0.008,0.008,0.004,0.008,0.009,0.004,0.003,0.007,0.011,0.005,0.003,0.010,0.003,0.008,0.010,0.005,0.009,0.011,0.003,0.009,0.007,0.004,0.006,0.005,0.005,0.004,0.011,0.003,0.012,0.005,0.006,0.006,0.005,0.013,0.014,0.005,0.006,0.008,0.004,0.012,0.008,0.006,0.003,0.004,0.004,0.005,0.005,0.011,0.012,0.007,0.006,0.004,0.014,0.007,0.003,0.004,0.007,0.006,0.007,0.010,0.010,0.008,0.004,0.144,0.006,0.003,0.006,0.009,0.006,0.005,0.008,0.006,0.005,0.012,0.004,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,7,127.89,26.27,-2.39,15.54,0.93,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,123.42,19.09,-3.48,17.36,0.95,0.71,,,,,,,,6,115.98,19.93,-3.29,10.44,0.97,0.72,1,127.77,0,-22.55,0,0.98,0.64,1,104.39,0,-9.37,0,0.97,0.63,1,84.1,0,-2.73,0,0.95,0.59,0,0,0,0,0,0,0,89,0.008,0.008,0.015,0.005,0.009,0.015,0.004,0.009,0.006,0.004,0.005,0.002,0.013,0.003,0.012,0.004,0.003,0.008,0.003,0.007,0.004,0.003,0.007,0.009,0.011,0.003,0.005,0.003,0.005,0.017,0.005,0.003,0.009,0.007,0.005,0.004,0.008,0.003,0.015,0.006,0.002,0.004,0.009,0.004,0.004,0.003,0.005,0.003,0.009,0.005,0.013,0.006,0.003,0.005,0.008,0.007,0.010,0.006,0.009,0.006,0.009,0.006,0.009,0.013,0.005,0.005,0.004,0.003,0.016,0.010,0.007,0.003,0.009,0.008,0.012,0.009,0.009,0.005,0.010,0.007,0.004,0.003,0.007,0.008,0.003,0.014,0.008,0.012,0.112,0.011,0.004,0.005,0.003,0.012,0.009,0.006,0.003,0.009,0.005,0.004,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,127.14,24.92,-0.42,16.98,0.94,0.73,4,121.37,16.26,-8.16,8.4,0.92,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,138.65,16.31,-0.74,9.17,0.96,0.76,5,108.37,14.88,-3.71,12.13,0.96,0.76,1,126.65,0,-21.3,0,0.98,0.64,1,119.51,0,-5.28,0,0.98,0.64,1,90.35,0,-5.08,0,0.96,0.61,0,0,0,0,0,0,0,89,0.004,0.010,0.005,0.004,0.006,0.020,0.005,0.009,0.005,0.003,0.006,0.004,0.014,0.003,0.014,0.005,0.004,0.012,0.004,0.006,0.005,0.007,0.003,0.004,0.009,0.011,0.007,0.008,0.005,0.012,0.010,0.002,0.010,0.008,0.005,0.004,0.010,0.008,0.007,0.005,0.007,0.004,0.004,0.004,0.003,0.008,0.003,0.003,0.009,0.007,0.006,0.009,0.003,0.004,0.004,0.008,0.007,0.008,0.005,0.016,0.003,0.012,0.003,0.003,0.013,0.009,0.006,0.006,0.006,0.005,0.005,0.004,0.006,0.006,0.006,0.013,0.004,0.011,0.005,0.004,0.009,0.003,0.010,0.002,0.008,0.025,0.013,0.005,0.129,0.013,0.006,0.005,0.003,0.020,0.005,0.005,0.004,0.005,0.008,0.004,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,137.22,3.18,-5.72,13.51,0.83,0.64,2,101.71,1.99,-6.78,0.13,0.91,0.72,2,124.18,6.8,-7.92,0.9,0.91,0.68,5,135.72,18.42,-1.59,16.29,0.93,0.76,4,126.44,18.16,-8.31,4.88,0.92,0.77,3,121.42,19.56,3.26,5.64,0.91,0.74,2,109.96,5.15,6.5,8.99,0.94,0.72,3,92.96,10.15,9.85,8.39,0.93,0.76,2,110.96,4.48,-0.33,14.36,0.96,0.67,1,137.44,0,-4.59,0,0.95,0.82,,,,,,,,,,,,,,,1,103.82,0,-7.19,0,0.97,0.63,1,92.78,0,-7.43,0,0.96,0.59,0,0,0,0,0,0,0,89,0.004,0.006,0.006,0.006,0.007,0.023,0.003,0.007,0.007,0.004,0.003,0.006,0.009,0.010,0.006,0.008,0.003,0.010,0.004,0.013,0.008,0.006,0.014,0.006,0.012,0.010,0.007,0.014,0.005,0.007,0.006,0.003,0.008,0.011,0.004,0.003,0.012,0.010,0.006,0.004,0.003,0.006,0.005,0.010,0.008,0.004,0.004,0.003,0.007,0.016,0.006,0.011,0.010,0.009,0.007,0.005,0.008,0.005,0.007,0.005,0.010,0.009,0.003,0.006,0.005,0.011,0.005,0.009,0.012,0.009,0.008,0.007,0.004,0.012,0.003,0.014,0.007,0.018,0.003,0.004,0.007,0.006,0.005,0.002,0.003,0.010,0.004,0.009,0.147,0.003,0.005,0.005,0.010,0.013,0.007,0.009,0.008,0.010,0.006,0.007,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,130.28,12.18,0.04,11.5,0.86,0.66,2,90.77,14.45,-7,1.74,0.98,0.64,2,120.9,4.24,-12.49,1.9,0.9,0.69,6,129.42,24.89,-7.37,19.85,0.93,0.74,3,131.07,20.6,-15.34,4.28,0.92,0.78,3,119.42,16.42,0.66,6.78,0.91,0.76,2,110.93,5.17,7.79,5.32,0.95,0.72,3,103.57,6.13,9.38,8.48,0.94,0.77,2,108.42,0.88,-9.4,13.59,0.95,0.67,3,139.37,14.69,-5.83,4.06,0.97,0.76,4,110.03,15.19,-7.98,13.3,0.95,0.77,,,,,,,,1,110,0,-0.52,0,0.97,0.64,1,70.71,0,-8.13,0,0.95,0.6,0,0,0,0,0,0,0,89,0.011,0.006,0.003,0.004,0.007,0.011,0.009,0.006,0.009,0.007,0.008,0.006,0.012,0.003,0.012,0.010,0.006,0.006,0.005,0.006,0.008,0.005,0.004,0.014,0.011,0.006,0.007,0.004,0.007,0.008,0.003,0.002,0.004,0.008,0.004,0.003,0.011,0.003,0.010,0.005,0.003,0.009,0.008,0.005,0.004,0.013,0.006,0.006,0.008,0.006,0.006,0.007,0.003,0.006,0.008,0.013,0.012,0.011,0.006,0.011,0.006,0.012,0.003,0.003,0.007,0.009,0.008,0.005,0.009,0.006,0.007,0.007,0.010,0.007,0.007,0.007,0.009,0.014,0.007,0.007,0.009,0.004,0.012,0.008,0.008,0.010,0.010,0.012,0.157,0.011,0.005,0.004,0.007,0.007,0.006,0.007,0.014,0.005,0.006,0.006,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,127.28,28.85,1.29,13.62,0.86,0.67,3,97.98,14.29,-4.64,4.76,0.92,0.68,,,,,,,,6,131.06,24.65,-4.84,15.28,0.93,0.75,,,,,,,,4,115.82,25.61,7.35,4.54,0.91,0.74,2,124.72,3.67,8.68,4.21,0.95,0.71,3,99.23,18.13,10.26,4.81,0.94,0.77,2,112.99,8.93,-6.29,13.36,0.95,0.68,2,148.75,4.25,2.19,2.57,0.97,0.72,5,98.89,10.48,-1.82,12.12,0.96,0.76,1,134.33,0,-23.7,0,0.98,0.65,0,0,0,0,0,0,0,1,98.01,0,-0.58,0,0.96,0.6,0,0,0,0,0,0,0,89,0.007,0.018,0.005,0.005,0.004,0.013,0.006,0.005,0.006,0.007,0.004,0.006,0.009,0.007,0.006,0.008,0.008,0.010,0.004,0.008,0.009,0.006,0.010,0.011,0.013,0.005,0.010,0.004,0.008,0.010,0.004,0.003,0.010,0.005,0.007,0.004,0.007,0.005,0.009,0.009,0.008,0.006,0.011,0.007,0.005,0.004,0.006,0.005,0.007,0.008,0.003,0.010,0.004,0.007,0.006,0.007,0.013,0.015,0.011,0.007,0.008,0.006,0.004,0.006,0.008,0.006,0.012,0.007,0.007,0.020,0.005,0.016,0.004,0.008,0.006,0.011,0.008,0.006,0.004,0.007,0.003,0.005,0.004,0.012,0.008,0.009,0.008,0.010,0.146,0.004,0.003,0.008,0.006,0.005,0.008,0.008,0.006,0.009,0.005,0.004,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110.5,23.5,10.5,4.5,0.88,0.66,2,120.5,7.5,8.5,4.5,0.91,0.69,,,,,,,,6,128.67,10.48,9.5,9.69,0.94,0.77,2,94.5,6.5,5,6,0.96,0.8,2,117.5,35.5,1.5,4.5,0.98,0.72,5,113.8,17.66,0.6,6.34,0.94,0.77,10,121.9,19.94,5.2,10.11,0.95,0.76,5,115.8,22.72,-2.6,13.73,0.95,0.74,4,97,7.97,1,7.58,0.97,0.73,2,115,26,-7.5,9.5,0.96,0.67,2,108,17,10,1,0.97,0.72,3,110.33,6.02,3.67,3.09,0.96,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0.005,0.009,0.018,0.007,0.019,0.007,0.007,0.011,0.005,0.007,0.003,0.007,0.006,0.004,0.004,0.004,0.003,0.006,0.007,0.009,0.008,0.002,0.009,0.003,0.007,0.004,0.012,0.010,0.010,0.009,0.005,0.004,0.002,0.003,0.003,0.008,0.009,0.007,0.008,0.007,0.008,0.007,0.003,0.010,0.007,0.002,0.004,0.007,0.004,0.003,0.010,0.007,0.008,0.008,0.009,0.010,0.003,0.005,0.004,0.014,0.014,0.005,0.003,0.012,0.006,0.005,0.009,0.004,0.003,0.005,0.011,0.011,0.011,0.007,0.009,0.007,0.006,0.007,0.008,0.005,0.008,0.008,0.007,0.007,0.006,0.004,0.006,0.007,0.005,0.008,0.165,0.010,0.014,0.013,0.006,0.018,0.007,0.007,0.011,0.004,90
